Chord,Symbol,Quality,FormOrder,FormID,ShapeName,Fret1,Fret2,Fret3,Fret4,Fret5,Fret6,Finger1,Finger2,Finger3,Finger4,Finger5,Finger6,BarreFret,BarreFrom,BarreTo,Tips
G#M7,G#M7,M7,1,G#M7-1-Root6,Root-6,4,4,5,5,6,4,1,1,2,3,4,1,4,1,6,"6th string root | Maj7 E-shape"
G#M7,G#M7,M7,2,G#M7-2-Root5,Root-5,11,13,12,13,11,x,1,4,2,3,1,-,11,1,5,"5th string root | Maj7 A-shape"
G#M7,G#M7,M7,3,G#M7-3-Root4,Root-4,8,8,8,6,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
F#M7,F#M7,M7,1,F#M7-1-Root6,Root-6,2,2,3,3,4,2,1,1,2,3,4,1,2,1,6,"6th string root | Maj7 E-shape"
F#M7,F#M7,M7,2,F#M7-2-Root5,Root-5,9,11,10,11,9,x,1,4,2,3,1,-,9,1,5,"5th string root | Maj7 A-shape"
F#M7,F#M7,M7,3,F#M7-3-Root4,Root-4,6,6,6,4,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
BbM7,BbM7,M7,1,BbM7-1-Root6,Root-6,6,6,7,7,8,6,1,1,2,3,4,1,6,1,6,"A#maj7 enharmonic | Maj7 E-shape"
BbM7,BbM7,M7,2,BbM7-2-Root5,Root-5,1,3,2,3,1,x,1,4,2,3,1,-,1,1,5,"5th string root | Maj7 A-shape"
BbM7,BbM7,M7,3,BbM7-3-Root4,Root-4,10,10,10,8,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
BM7,BM7,M7,1,BM7-1-Root6,Root-6,7,7,8,8,9,7,1,1,2,3,4,1,7,1,6,"6th string root | Maj7 E-shape"
BM7,BM7,M7,2,BM7-2-Root5,Root-5,2,4,3,4,2,x,1,4,2,3,1,-,2,1,5,"5th string root | Maj7 A-shape"
BM7,BM7,M7,3,BM7-3-Root4,Root-4,11,11,11,9,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
CM7,CM7,M7,1,CM7-1,Open,0,0,0,2,3,x,-,-,-,2,3,-,,,,"Rich C major 7th | Open strings"
CM7,CM7,M7,2,CM7-2,Root-5,3,5,4,5,3,x,1,4,2,3,1,-,3,1,5,"Barre form | 5th string root"
CM7,CM7,M7,3,CM7-3,Root-6,8,8,9,9,10,8,1,1,2,3,4,1,8,1,6,"Full barre | 2nd&3rd strings at 8/9"
CM7,CM7,M7,4,CM7-4,Root-4,12,12,12,10,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
C#M7,C#M7,M7,1,C#M7-1-Root6,Root-6,9,9,10,10,11,9,1,1,2,3,4,1,9,1,6,"6th string root | Maj7 shape"
C#M7,C#M7,M7,2,C#M7-2-Root5,Root-5,4,6,5,6,4,x,1,4,2,3,1,-,4,1,5,"5th string root | Barre"
C#M7,C#M7,M7,3,C#M7-3-Root4,Root-4,13,13,13,11,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
DM7,DM7,M7,1,DM7-1-Root6,Root-6,10,10,11,11,12,10,1,1,2,3,4,1,10,1,6,"6th string root | Maj7 shape"
DM7,DM7,M7,2,DM7-2-Root5,Root-5,5,7,6,7,5,x,1,4,2,3,1,-,5,1,5,"5th string root | Barre"
DM7,DM7,M7,3,DM7-3-Root4,Root-4,14,14,14,12,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
D#M7,D#M7,M7,1,D#M7-1-Root4,Root-4,3,3,3,1,x,x,3,1,2,1,-,-,,,,"4th string root | Compact voicing"
D#M7,D#M7,M7,2,D#M7-2-Root5,Root-5,6,8,7,8,6,x,1,4,2,3,1,-,6,1,5,"5th string root | Maj7 A-shape"
D#M7,D#M7,M7,3,D#M7-3-Root6,Root-6,11,11,12,12,13,11,1,1,2,3,4,1,11,1,6,"6th string root | Maj7 E-shape"
EbM7,EbM7,M7,1,EbM7-1-Root4,Root-4,3,3,3,1,x,x,3,1,2,1,-,-,,,,"4th string root | Compact voicing"
EbM7,EbM7,M7,2,EbM7-2-Root5,Root-5,6,8,7,8,6,x,1,4,2,3,1,-,6,1,5,"5th string root | Maj7 A-shape"
EbM7,EbM7,M7,3,EbM7-3-Root6,Root-6,11,11,12,12,13,11,1,1,2,3,4,1,11,1,6,"6th string root | Maj7 E-shape"
EM7,EM7,M7,1,EM7-1-Open,Open,0,0,1,1,2,0,-,-,1,2,3,-,,,,"E major 7th | Beautiful open voicing"
